Artist,Title,Track ID,,https://www.nts.live/shows/goth-money/episodes/goth-money-18th-april-2018
Screwboss,Murderonmymind2005,,,
Tay-K ,Murder She Wrote,spotify:track:1mZbEtVS7C2EqiSsN7m3ie,,
Lil B ,Bill Bellamy,spotify:track:2QxtgM2FuXMixb9WfscgvF,,
Playa Fly ,Gettin´ It On,spotify:track:3kVMIWbBOMcuzmACoQeW6V,,
DJ Spanish Fly ,Cement Shoes,spotify:track:6Ky3JY8QnIO5rqn12aSdZM,,
Lil Candy Paint,Stars,spotify:track:5yEtSUjD9AiR7OZroqdCTZ,,
Yesterdays New Quintet ,Broken Dreams,spotify:track:2ry9vVnYx1xAt14BEQl275,,
Bass Patrol ,All Hoez (Pt.1),spotify:track:4GZ62tnItOXvKFDiyLvAWu,,
Lil B ,Water On The Paper,spotify:track:01HLLi8xpSv7aYGVdwXuRs,,
Bass 305 ,Man Likes The Sound Of Bass (Slow Euro Bass Dub),spotify:track:5NHckVZ0GanU4D8i5xRZr4,,
Treety,Dk Drop Offs,spotify:track:6QIRodUvn3dCIiE58WpPdZ,,
DJ Rels ,Broken Soul / Dawn,spotify:track:1WzNoiig7DZMsIlrXVt0uC,,
Lil B ,Keith Sweat,spotify:track:2dTL7iQtL0Z8rSXBZAOzRD,,
Bass Waves ,Urbania,spotify:track:6r17k5BHhKxHCcTAuzhsPs,,
Lil B,Poppin V,spotify:track:6zE61GbFPzyXadXAYf8VIm,,
Rue Maneli,Gucci Hoe,spotify:track:5GPTdUEUkZR6ndiXXLHZKQ,,
Ghost Space Purp Remix,Real Mac,,,
Mfk,Yeahyra,,,
Ruben Slikk,Donk Racer,,,
Bass Mekanik ,How Do U Say...Bass? (Mekanik Remix),spotify:track:5w5yoGe5SJJm57r01iAzVy,,
Three 6 Mafia ,In Da Game,spotify:track:4bCJZwyVjboKU3l7s9AzGH,,
Bass Mekanik ,Bass Zone,spotify:track:0xWYaSRWxMt5TTI8vBcpSM,,
Lancey Foux,I Know You,spotify:track:5FfaabSVGinbmlzqeHWoak,,
Playboi Carti ,Let It Go,spotify:track:23QyE9GQpXsX9WgEDADMa6,,
Dj Spanish Fly,Trigga Man,spotify:track:4WWCn94mbdcNfOQtGPdIcy,,
DJ Maphorisa & DJ Catzico,Oncamnce,spotify:track:71ZdktXFnDzM3JteXsDdHI,,
Dj-Chip,Hold Up Wait A Minute,,,
Heavy K,Inde,spotify:track:1HySmOiWIm1j0k6YdyKZLx,,
Luckaleannn,Run Up,,,
Mfk,45you,,,
Mfk,47you,,,
Spaceghostpurp,Juice,,,
Mfk,49you,,,
Duwap Kaine,Smelly,,,
Monk Hughes & The Outer Realm ,Keys,spotify:track:6QvQrlwGTQ5A4vgeUNuwbY,,
Sicko Mobb feat. Young Heavy ,Fiesta,spotify:track:1YHXkvQR5rj35HxJGPxcnX,,
Chief Keef ,Cops,spotify:track:6YWLdEpbo12CP6HNrIMt3U,,
Lil B ,Still Thuggin',spotify:track:6GADjekUgUHOuROiNDR1QV,,
Lil B ,Mask Up,spotify:track:3aumhqFcea2oJjwd4d3tu4,,
Lil B ,Hit Em With The Chop,spotify:track:0KAzDnLs2RCjdENu7WdPHH,,
Bass Waves,Urbainia,,,
Cartier God,Ontheflow,,,
Lil B,Dig Deep,spotify:track:4HoxvBSF2CEGL2NFYZUpBo,,
Goonew,Gucci Goon,spotify:track:2W1gsCwxd8msFXyTIiK8su,,
Lil B ,Hit Da 4lo,spotify:track:3SZ5SM2pIJSWwwkaLwioDl,,
Hasizzle,Shakedown,,,
